,lag_RIGHT_ANKLE,lag_time_RIGHT_ANKLE,lag_LEFT_ANKLE,lag_time_LEFT_ANKLE,lag_RIGHT_WRIST,lag_time_RIGHT_WRIST,lag_LEFT_WRIST,lag_time_LEFT_WRIST
0,-289,-1.156,-290,-1.16,-291,-1.164,-291,-1.164
1,16,0.064,14,0.056,14,0.056,14,0.056
2,-92,-0.368,-95,-0.38,-93,-0.372,-94,-0.376
3,-182,-0.728,-185,-0.74,-185,-0.74,-186,-0.744
4,-45,-0.18,-49,-0.196,-47,-0.188,-48,-0.192
5,-182,-0.728,-186,-0.744,-183,-0.732,-174,-0.696
6,-186,-0.744,-191,-0.764,-187,-0.748,-188,-0.752
7,-430,-1.72,-433,-1.732,-431,-1.724,-430,-1.72
8,-69,-0.276,-73,-0.292,-71,-0.284,-74,-0.296
9,-21,-0.084,-21,-0.084,-26,-0.104,-21,-0.084
